	txNomeParlamentar	ideCadastro	sgUF	sgPartido	txtDescricao	txtDescricaoEspecificacao	txtFornecedor	txtCNPJCPF	datEmissao	vlrLiquido	numMes	numAno	txtPassageiro	nuDeputadoId	ideDocumento	urlDocumento
29094	Vander Loubet	74376.0	MS	PT	COMBUSTÍVEIS E LUBRIFICANTES.	Veículos Automotores	LR PETROLEO LTDA	157.153.890/0012-9	2019-01-24 00:00:00	70.0	1	2019		1697	6782450	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6782450.pdf
29095	Vander Loubet	74376.0	MS	PT	COMBUSTÍVEIS E LUBRIFICANTES.	Veículos Automotores	POSTO DA TORRE EIRELI - EPP	044.731.930/0015-9	2019-01-15 00:00:00	50.0	1	2019		1697	6745037	http://camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=6745037
29096	Vander Loubet	74376.0	MS	PT	COMBUSTÍVEIS E LUBRIFICANTES.	Veículos Automotores	POSTO DE COMBUSTIVEL CIDADE LTDA	062.551.760/0017-0	2019-01-12 00:00:00	100.0	1	2019		1697	6759285	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6759285.pdf
29097	Vander Loubet	74376.0	MS	PT	COMBUSTÍVEIS E LUBRIFICANTES.	Veículos Automotores	posto locatelli mae e filha ltda	246.018.820/0010-9	2019-01-22 00:00:00	100.0	1	2019		1697	6759300	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6759300.pdf
29098	Vander Loubet	74376.0	MS	PT	COMBUSTÍVEIS E LUBRIFICANTES.	Veículos Automotores	R S BONDEZAN	037.976.560/0017-5	2019-01-07 00:00:00	50.01	1	2019		1697	6782454	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6782454.pdf
29099	Vander Loubet	74376.0	MS	PT	COMBUSTÍVEIS E LUBRIFICANTES.	Veículos Automotores	SERV CAR DERIVADOS DE PETROLEO LTDA - POSTO	003.132.210/0020-9	2019-01-09 00:00:00	150.0	1	2019		1697	6743970	http://camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=6743970
29100	Vander Loubet	74376.0	MS	PT	COMBUSTÍVEIS E LUBRIFICANTES.	Veículos Automotores	SERV CAR DERIVADOS DE PETROLEO LTDA - POSTO	003.132.210/0020-9	2019-01-21 00:00:00	219.81	1	2019		1697	6743983	http://camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=6743983
29101	Vander Loubet	74376.0	MS	PT	DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.		eder florencio yanaguita	245.236.770/0017-2	2019-01-07 00:00:00	15750.0	1	2019		1697	6733681	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6733681.pdf
29102	Vander Loubet	74376.0	MS	PT	DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.		eder florencio yanaguita	245.236.770/0017-2	2019-01-22 00:00:00	3000.0	1	2019		1697	6740569	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6740569.pdf
29103	Vander Loubet	74376.0	MS	PT	TELEFONIA		CELULAR FUNCIONAL	000.000.000/0000-1	2019-02-26 00:00:00	210.9	1	2019		1697	0	
29104	Vander Loubet	74376.0	MS	PT	TELEFONIA		CELULAR FUNCIONAL	000.000.000/0000-1	2019-03-26 00:00:00	4.74	1	2019		1697	0	
29105	Vander Loubet	74376.0	MS	PT	TELEFONIA		RAMAL	000.000.000/0000-6		153.33	1	2019		1697	0	
29106	Vander Loubet	74376.0	MS	PT	SERVIÇOS POSTAIS		CORREIOS - CARTA COMERCIAL	000.000.000/0000-7	2019-01-17 11:34:54	3.9	1	2019		1697	0	
29107	Vander Loubet	74376.0	MS	PT	SERVIÇOS POSTAIS		CORREIOS - CARTA COMERCIAL	000.000.000/0000-7	2019-01-18 11:27:17	3.9	1	2019		1697	0	
29108	Vander Loubet	74376.0	MS	PT	SERVIÇOS POSTAIS		CORREIOS - SEDEX CONVENCIONAL	000.000.000/0000-7	2019-01-31 13:00:54	48.8	1	2019		1697	0	
29109	Vander Loubet	74376.0	MS	PT	SERVIÇOS POSTAIS		CORREIOS - SEDEX CONVENCIONAL COM AR	000.000.000/0000-7	2019-01-18 11:27:48	39.51	1	2019		1697	0	
29110	Vander Loubet	74376.0	MS	PT	PASSAGEM AÉREA - RPA		Cia Aérea - AVIANCA	025.758.290/0014-8	2019-01-09 00:00:00	339.57	1	2019	Vander Loubet	1697	1630530	
29111	Vander Loubet	74376.0	MS	PT	PASSAGEM AÉREA - RPA		Cia Aérea - AVIANCA	025.758.290/0014-8	2019-01-14 00:00:00	578.49	1	2019	MICHELS/IDO	1697	1633681	
29112	Vander Loubet	74376.0	MS	PT	PASSAGEM AÉREA - RPA		Cia Aérea - AVIANCA	025.758.290/0014-8	2019-01-25 00:00:00	663.57	1	2019	Vander Loubet	1697	1634932	
29113	Vander Loubet	74376.0	MS	PT	PASSAGEM AÉREA - RPA		Cia Aérea - AVIANCA	025.758.290/0014-8	2019-01-09 00:00:00	39.0	1	2019	Vander Loubet	1697	1630529	
29114	Vander Loubet	74376.0	MS	PT	PASSAGEM AÉREA - RPA		Cia Aérea - AVIANCA	025.758.290/0014-8	2019-01-25 00:00:00	19.0	1	2019	Vander Loubet	1697	1634931	
29115	Vander Loubet	74376.0	MS	PT	PASSAGEM AÉREA - RPA		Cia Aérea - TAM	020.128.620/0016-0	2019-01-14 00:00:00	909.57	1	2019	Vander Loubet	1697	1634631	
29116	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		aguas guarirobas	040.895.700/0015-0	2019-04-12 00:00:00	72.56	4	2019		1697	6825436	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6825436.pdf
29117	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		aguas guarirobas	040.895.700/0015-0	2019-09-14 00:00:00	94.5	9	2019		1697	6934651	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6934651.pdf
29118	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		aguas guarirobas	040.895.700/0015-0	2019-03-15 00:00:00	45.0	3	2019		1697	6791538	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6791538.pdf
29119	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		aguas guarirobas	040.895.700/0015-0	2019-08-15 00:00:00	69.75	8	2019		1697	6917168	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6917168.pdf
29120	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		aguas guarirobas	040.895.700/0015-0	2019-11-11 00:00:00	94.5	11	2019		1697	6980539	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6980539.pdf
29121	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		aguas guarirobas	040.895.700/0015-0	2019-07-12 00:00:00	69.75	7	2019		1697	6892494	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6892494.pdf
29122	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		aguas guarirobas	040.895.700/0015-0	2019-02-12 00:00:00	136.01	2	2019		1697	6781916	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6781916.pdf
29123	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		aguas guarirobas	040.895.700/0015-0	2019-10-16 00:00:00	105.04	10	2019		1697	6964774	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6964774.pdf
29124	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		aguas guarirobas	040.895.700/0015-0	2019-06-14 00:00:00	86.25	6	2019		1697	6879890	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6879890.pdf
29125	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		aguas guarirobas	040.895.700/0015-0	2019-05-14 00:00:00	61.5	5	2019		1697	6855646	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6855646.pdf
29126	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		EMIDIO SOUTO PEREIRA - EPP	133.457.280/0010-5	2019-02-11 00:00:00	304.0	2	2019		1697	6762961	http://camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=6762961
29127	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		ENERGISA   MS	154.138.260/0015-0	2019-02-11 00:00:00	351.59	2	2019		1697	6774901	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6774901.pdf
29128	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		ENERGISA   MS	154.138.260/0015-0	2019-03-13 00:00:00	219.59	3	2019		1697	6791473	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6791473.pdf
29129	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		ENERGISA   MS	154.138.260/0015-0	2019-04-11 00:00:00	205.41	4	2019		1697	6824493	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6824493.pdf
29130	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		ENERGISA   MS	154.138.260/0015-0	2019-05-13 00:00:00	314.58	5	2019		1697	6827435	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6827435.pdf
29131	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		ENERGISA   MS	154.138.260/0015-0	2019-06-10 00:00:00	273.35	6	2019		1697	6855648	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6855648.pdf
29132	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		ENERGISA   MS	154.138.260/0015-0	2019-07-11 00:00:00	271.78	7	2019		1697	6879894	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6879894.pdf
29133	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		ENERGISA   MS	154.138.260/0015-0	2019-08-13 00:00:00	290.99	8	2019		1697	6917170	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6917170.pdf
29134	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		ENERGISA   MS	154.138.260/0015-0	2019-09-12 00:00:00	390.26	9	2019		1697	6926444	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6926444.pdf
29135	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		ENERGISA   MS	154.138.260/0015-0	2019-10-14 00:00:00	442.0	10	2019		1697	6950020	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6950020.pdf
29136	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		ENERGISA   MS	154.138.260/0015-0	2019-11-10 23:00:00	518.64	11	2019		1697	6964679	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6964679.pdf
29137	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		haroldo barcellos braga junior	464.888.471/04  -	2019-03-10 00:00:00	2150.0	2	2019		1697	6780067	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6780067.pdf
29138	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		J A COMERCIO DE ARTIGOS PARA ESCRITORIO EIRELI ME	280.548.960/0010-0	2019-07-31 00:00:00	200.01	7	2019		1697	6892520	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6892520.pdf
29139	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		J A COMERCIO DE ARTIGOS PARA ESCRITORIO EIRELI ME	280.548.960/0010-0	2019-11-07 23:00:00	388.0	11	2019		1697	6964670	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6964670.pdf
29140	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		Lucas Paulino de Sousa Nogueira	311.805.700/0013-4	2019-05-09 00:00:00	169.0	5	2019		1697	6824437	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6824437.pdf
29141	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		LUCAS PAULINO DE SOUSA NOGUEIRA	311.805.700/0013-4	2019-09-10 00:00:00	309.5	9	2019		1697	6917198	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6917198.pdf
29142	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		LUCAS PAULINO DE SOUSA NOGUEIRA	311.805.700/0013-4	2019-12-12 00:00:00	373.5	12	2019		1697	6984837	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6984837.pdf
29143	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		LUCAS PAULINO DE SOUSA NOGUEIRA 05629981102	311.805.700/0013-4	2019-04-09 00:00:00	136.5	4	2019		1697	6805210	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6805210.pdf
29144	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		LUCAS PAULINO DE SOUSA NOGUEIRA 05629981102	311.805.700/0013-4	2019-06-17 00:00:00	280.0	6	2019		1697	6854223	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6854223.pdf
29145	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		PAPELARIA FRADELLI LTDA	155.569.620/0010-7	2019-05-28 00:00:00	111.9	5	2019		1697	6855652	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6855652.pdf
29146	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		prefeitura municipal de campo grande	032.570.780/0018-4	2019-04-16 00:00:00	1154.36	4	2019		1697	6824503	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6824503.pdf
29147	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		PREFEITURA MUNICIPAL DE CAMPO GRANDE	035.015.090/0010-6	2019-05-13 00:00:00	377.21	5	2019		1697	6827470	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6827470.pdf
29148	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		PREFEITURA MUNICIPAL DE CAMPO GRANDE	035.015.090/0010-6	2019-06-10 00:00:00	380.98	6	2019		1697	6855647	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6855647.pdf
29149	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		ronaldo guedine ribeiro	120.251.668/85  -	2019-03-28 00:00:00	2150.0	3	2019		1697	6801355	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6801355.pdf
29150	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		ronaldo guedine ribeiro	120.251.668/85  -	2019-05-27 00:00:00	2327.0	5	2019		1697	6852288	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6852288.pdf
29151	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		ronaldo guedine ribeiro	120.251.668/85  -	2019-08-08 00:00:00	2327.0	7	2019		1697	6892469	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6892469.pdf
29152	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		ronaldo guedine ribeiro	120.251.668/85  -	2019-08-28 00:00:00	2327.0	8	2019		1697	6917187	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6917187.pdf
29153	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		ronaldo guedine ribeiro	120.251.668/85  -	2019-10-22 23:00:00	2327.0	10	2019		1697	6964676	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6964676.pdf
29154	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		ronaldo guedine ribeiro	120.251.668/85  -	2019-11-29 00:00:00	2327.0	11	2019		1697	6980532	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6980532.pdf
29155	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		ronaldo guedine ribeiro	120.251.668/85  -	2019-05-08 00:00:00	2327.0	4	2019		1697	6825431	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6825431.pdf
29156	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		ronaldo guedine ribeiro	120.251.668/85  -	2019-07-05 00:00:00	2327.0	6	2019		1697	6870183	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6870183.pdf
29157	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		ronaldo guedine ribeiro	120.251.668/85  -	2019-10-07 00:00:00	2327.0	9	2019		1697	6934647	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6934647.pdf
29158	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		SR COMERCIO DE ELETRONICOS E ARMARINHOS LTDA	075.213.230/0017-0	2019-06-07 00:00:00	277.65	6	2019		1697	6847979	http://camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=6847979
29159	Vander Loubet	74376.0	MS	PT	COMBUSTÍVEIS E LUBRIFICANTES.	Veículos Automotores	ABASTECEDORA AGROSSOL COMBUSTIVEL LTDA	039.073.420/0018-8	2019-06-23 00:00:00	150.04	6	2019		1697	6894739	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6894739.pdf
29160	Vander Loubet	74376.0	MS	PT	COMBUSTÍVEIS E LUBRIFICANTES.	Veículos Automotores	abastecedora de combustiveis avenida ltda me	009.858.200/0018-0	2019-09-27 00:00:00	245.98	9	2019		1697	6936785	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6936785.pdf
29161	Vander Loubet	74376.0	MS	PT	COMBUSTÍVEIS E LUBRIFICANTES.	Veículos Automotores	ABASTECEDORA NOVA ALVORADA LTDA	006.279.830/0019-0	2019-09-21 00:00:00	236.03	9	2019		1697	6957049	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6957049.pdf
29162	Vander Loubet	74376.0	MS	PT	COMBUSTÍVEIS E LUBRIFICANTES.	Veículos Automotores	acerto posto de serviços	219.492.810/0010-1	2019-08-09 00:00:00	216.88	8	2019		1697	6894742	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6894742.pdf
29163	Vander Loubet	74376.0	MS	PT	COMBUSTÍVEIS E LUBRIFICANTES.	Veículos Automotores	ALPHAVILE COMERCIO DE COMBUSTIVEIS LTDA	103.396.620/0014-4	2019-10-24 23:00:00	177.57	10	2019		1697	6957078	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6957078.pdf
29164	Vander Loubet	74376.0	MS	PT	COMBUSTÍVEIS E LUBRIFICANTES.	Veículos Automotores	ANCELMO E PAULINO LTDA	049.904.400/0019-4	2019-05-08 00:00:00	150.0	5	2019		1697	6852304	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6852304.pdf
29165	Vander Loubet	74376.0	MS	PT	COMBUSTÍVEIS E LUBRIFICANTES.	Veículos Automotores	ANCELMO E PAULINO LTDA	049.904.400/0019-4	2019-05-06 00:00:00	205.21	5	2019		1697	6823565	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6823565.pdf
29166	Vander Loubet	74376.0	MS	PT	COMBUSTÍVEIS E LUBRIFICANTES.	Veículos Automotores	AUTO POSTO 2017 LTDA	205.871.850/0019-0	2019-05-14 00:00:00	112.06	5	2019		1697	6852346	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6852346.pdf
